4.5674, 4.5673, 4.5672, 4.5672, 4.5671, 4.5671, 4.5660
4.5658, 4.5659, 4.5660, 4.5658, 4.5658, 4.5657, 4.5657, 4.5657, 4.5653
4.5654, 4.5653, 4.5652, 4.5653, 4.5653, 4.5653, 4.5653, 4.5652, 4.5652
4.5648, 4.5650, 4.5649, 4.5649, 4.5649, 4.5650, 4.5649, 4.5648, 4.5651
4.5649, 4.5647, 4.5648, 4.5649, 4.5649, 4.5650, 4.5650, 4.5650, 4.5654
4.5653, 4.5652, 4.5654, 4.5654, 4.5654, 4.5654, 4.5654, 4.5654, 4.5653
4.5655, 4.5653, 4.5655, 4.5655, 4.5655, 4.5655, 4.5655, 4.5655, 4.5654
4.5652, 4.5652, 4.5653, 4.5653, 4.5654, 4.5655, 4.5655, 4.5655, 4.5655
4.5656, 4.5656, 4.5657, 4.5657, 4.5658, 4.5658, 4.5657, 4.5658, 4.5660
4.5660, 4.5660, 4.5661, 4.5660, 4.5660, 4.5660, 4.5661, 4.5661, 4.5663
4.5664, 4.5664, 4.5665, 4.5664, 4.5664, 4.5664, 4.5664, 4.5664, 4.5667
4.5667, 4.5691
4.5693, 4.5691, 4.5692, 4.5693, 4.5692, 4.5693, 4.5693, 4.5693, 4.5695
4.5690, 4.5692, 4.5691, 4.5692, 4.5692, 4.5694, 4.5694, 4.5696, 4.5697
4.5695, 4.5695, 4.5696, 4.5696, 4.5696, 4.5696, 4.5696, 4.5696, 4.5694
4.5692, 4.5691, 4.5693, 4.5694, 4.5693, 4.5692, 4.5693, 4.5694, 4.5700
4.5695, 4.5697, 4.5698, 4.5699, 4.5698, 4.5698, 4.5698, 4.5699, 4.5701
4.5702, 4.5701, 4.5701, 4.5701, 4.5701, 4.5701, 4.5701, 4.5701, 4.5702
4.5701, 4.5703, 4.5704, 4.5703, 4.5702, 4.5703, 4.5703, 4.5703, 4.5705
4.5704, 4.5707, 4.5707, 4.5706, 4.5705, 4.5704, 4.5704, 4.5703, 4.5704
4.5703, 4.5704, 4.5703, 4.5704, 4.5703, 4.5703, 4.5703, 4.5703, 4.5702
4.5703, 4.5702, 4.5701, 4.5701, 4.5701, 4.5701, 4.5701, 4.5701, 4.5704
4.5705, 4.5706, 4.5705, 4.5705, 4.5706, 4.5706, 4.5705, 4.5705, 4.5708
4.5707, 4.5705, 4.5705, 4.5705, 4.5705, 4.5705, 4.5705, 4.5705, 4.5704
